Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Year,Profit,ROI,Decade
5293,1915-08-02,The Birth of a Nation,110000,11000000,10000000,1915,10890000,9900.0,1910
5230,1916-12-24,"20,000 Leagues Under the Sea",200000,8000000,8000000,1916,7800000,3900.0,1910
5299,1920-09-17,Over the Hill to the Poorhouse,100000,3000000,3000000,1920,2900000,2900.0,1920
5222,1925-01-01,The Big Parade,245000,22000000,11000000,1925,21755000,8879.591836734695,1920
4250,1925-12-30,Ben-Hur,3900000,9000000,9000000,1925,5100000,130.76923076923077,1920
5141,1929-01-02,The Broadway Melody,379000,4358000,2800000,1929,3979000,1049.8680738786281,1920
5043,1931-12-31,Mata Hari,558000,900000,900000,1931,342000,61.29032258064516,1930
5017,1933-07-04,King Kong,672000,10000650,10000000,1933,9328650,1388.1919642857144,1930
5234,1933-09-02,She Done Him Wrong,200000,2000000,2000000,1933,1800000,900.0,1930
5120,1933-09-03,42nd Street,439000,2281000,1438000,1933,1842000,419.5899772209567,1930
5154,1934-01-01,It Happened One Night,325000,2500000,2500000,1934,2175000,669.2307692307693,1930
5025,1935-06-09,Top Hat,609000,3202000,1782000,1935,2593000,425.7799671592775,1930
4738,1936-05-02,Modern Times,1500000,165049,163245,1936,-1334951,-88.99673333333334,1930
4768,1936-06-26,San Francisco,1300000,5273000,2868000,1936,3973000,305.61538461538464,1930
4570,1938-01-01,Alexander's Ragtime Band,2000000,4000000,4000000,1938,2000000,100.0,1930
4693,1938-01-01,You Can't Take It With You,1644000,4000000,4000000,1938,2356000,143.30900243309003,1930
4712,1939-01-01,Mr. Smith Goes To Washington,1500000,9000000,9000000,1939,7500000,500.0,1930
4447,1939-08-25,The Wizard of Oz,2777000,33754967,33711566,1939,30977967,1115.519157364062,1930
4248,1939-12-15,Gone with the Wind,3900000,390525192,198680470,1939,386625192,9913.466461538463,1930
4556,1940-01-01,Boom Town,2000000,9172000,9172000,1940,7172000,358.59999999999997,1940
4783,1940-01-01,Rebecca,1288000,6000000,6000000,1940,4712000,365.8385093167702,1940
4524,1940-11-13,Fantasia,2280000,83320000,83320000,1940,81040000,3554.385964912281,1940
5283,1942-11-16,Cat People,134000,8000000,4000000,1942,7866000,5870.149253731343,1940
4839,1943-01-23,Casablanca,1039000,10462500,10462500,1943,9423500,906.977863330125,1940
4457,1943-12-24,A Guy Named Joe,2627000,5363000,5363000,1943,2736000,104.14921964217739,1940
4515,1944-01-01,Bathing Beauty,2361000,3500000,3500000,1944,1139000,48.24227022448115,1940
3949,1944-01-08,Wilson,5200000,2000000,2000000,1944,-3200000,-61.53846153846154,1940
4530,1945-01-01,The Valley of Decision,2160000,9132000,9132000,1945,6972000,322.77777777777777,1940
4785,1945-01-01,The Lost Weekend,1250000,11000000,11000000,1945,9750000,780.0,1940
4716,1945-10-31,Spellbound,1500000,7000000,7000000,1945,5500000,366.66666666666663,1940
4327,1946-01-01,It's a Wonderful Life,3180000,9576159,6600000,1946,6396159,201.13707547169813,1940
4545,1946-01-01,Notorious,2000000,24464742,24464742,1946,22464742,1123.2371,1940
4533,1946-11-21,The Best Years of Our Lives,2100000,23600000,23600000,1946,21500000,1023.8095238095237,1940
3845,1946-12-31,Duel in the Sun,6000000,20400000,20400000,1946,14400000,240.0,1940
4557,1947-01-01,Gentleman's Agreement,2000000,7800000,7800000,1947,5800000,290.0,1940
4260,1948-01-01,The Pirate,3700000,2956000,2956000,1948,-744000,-20.10810810810811,1940
4361,1948-01-01,Red River,3000000,9012000,9012000,1948,6012000,200.4,1940
4695,1949-01-01,She Wore a Yellow Ribbon,1600000,5400000,5400000,1949,3800000,237.5,1940
4857,1949-01-01,Sands of Iwo Jima,1000000,7800000,7800000,1949,6800000,680.0,1940
4434,1950-02-15,Cinderella,2900000,263591415,85000000,1950,260691415,8989.359137931035,1950
4255,1950-05-17,Annie Get Your Gun,3768785,8000000,8000000,1950,4231215,112.27000213596689,1950
3593,1951-02-23,Quo Vadis?,8250000,30022000,30000000,1951,21772000,263.9030303030303,1950
4797,1951-03-07,Strangers on a Train,1200000,7000000,7000000,1951,5800000,483.3333333333333,1950
4666,1951-09-18,A Streetcar Named Desire,1800000,8000000,8000000,1951,6200000,344.44444444444446,1950
4517,1951-09-24,Show Boat,2300000,11000000,11000000,1951,8700000,378.2608695652174,1950
5009,1952-01-01,High Noon,730000,8000000,8000000,1952,7270000,995.890410958904,1950
4166,1952-10-01,The Greatest Show on Earth,4000000,36000000,36000000,1952,32000000,800.0,1950
4468,1952-10-04,Singin' in the Rain,2540000,7200000,7200000,1952,4660000,183.46456692913387,1950
4788,1953-01-21,Niagara,1250000,2500000,2500000,1953,1250000,100.0,1950
4162,1953-05-02,Peter Pan,4000000,87400000,87400000,1953,83400000,2085.0,1950
4692,1953-05-08,From Here to Eternity,1650000,30500000,30500000,1953,28850000,1748.4848484848485,1950
5227,1953-06-13,"The Beast from 20,000 Fathoms",210000,5000000,5000000,1953,4790000,2280.952380952381,1950
3969,1953-09-16,The Robe,5000000,36000000,36000000,1953,31000000,620.0,1950
5018,1953-10-04,House of Wax,658000,23800000,23800000,1953,23142000,3517.0212765957444,1950
3999,1954-01-01,The Egyptian,5000000,15000000,15000000,1954,10000000,200.0,1950
4959,1954-07-28,On the Waterfront,910000,9600000,9600000,1954,8690000,954.945054945055,1950
3973,1954-12-23,"20,000 Leagues Under the Sea",5000000,28200000,28200000,1954,23200000,463.99999999999994,1950
